station,laser_red,laser_blue,frequency,vgg_ste,order,station_id,point_id,full_path,session_date,fg5_file
ukam,632.9902735778,632.9912558321,9999999.997855656,0.007,first,ukam,1402,C:\gData\gProjects\brigade_4\first_order\ukam\1402,20230711,C:\gData\gProjects\brigade_4\first_order\ukam\1402\absolute\20230711\raw\1402_20230711.fg5
ulan,632.9902748591,632.9912556999,9999999.997561315,0.06,first,ulan,137,C:\gData\gProjects\brigade_4\first_order\ulan\0137,20230827,C:\gData\gProjects\brigade_4\first_order\ulan\0137\absolute\20230827\raw\0137_ulan.fg5
unk1,632.9902747228,632.9912557139,9999999.997592626,0.009,first,unk1,unk1,C:\gData\gProjects\brigade_4\first_order\unk1\unk1,20230823,C:\gData\gProjects\brigade_4\first_order\unk1\unk1\absolute\20230823\raw\zazg_zazg.fg5
usha,632.9902734688,632.9912558434,9999999.997880708,0.005,first,usha,1209,C:\gData\gProjects\brigade_4\first_order\usha\1209,20230707,C:\gData\gProjects\brigade_4\first_order\usha\1209\absolute\20230707\raw\1209_20230707.fg5
usht,632.9902734688,632.9912558434,9999999.997880708,0.004,first,usht,1325,C:\gData\gProjects\brigade_4\first_order\usht\1325,20230707,C:\gData\gProjects\brigade_4\first_order\usht\1325\absolute\20230707\raw\1325_20230707.fg5
yrgy,632.990274014,632.9912557871,9999999.997755457,0.001,first,yrgy,1329,C:\gData\gProjects\brigade_4\first_order\yrgy\1329,20230727,C:\gData\gProjects\brigade_4\first_order\yrgy\1329\absolute\20230727\raw\1329_yrgy.fg5
yrgy,632.990274014,632.9912557871,9999999.997755457,0.001,first,yrgy,1329,C:\gData\gProjects\brigade_4\first_order\yrgy\1329,20230727,C:\gData\gProjects\brigade_4\first_order\yrgy\1329\absolute\20230727\raw\1329_yrgy2.fg5
zhan,632.9902748046,632.9912557055,9999999.997573838,0.0,first,zhan,661,C:\gData\gProjects\brigade_4\first_order\zhan\661,20230826,C:\gData\gProjects\brigade_4\first_order\zhan\661\absolute\20230826\raw\661_zhko.fg5
zhas,632.9902738504,632.991255804,9999999.997793032,0.003,first,zhas,zhas,C:\gData\gProjects\brigade_4\first_order\zhas\zhas,20230721,C:\gData\gProjects\brigade_4\first_order\zhas\zhas\absolute\20230721\raw\zhas_20230721.fg5
zhel,632.9902736051,632.9912558293,9999999.997849394,0.029,first,zhel,84,C:\gData\gProjects\brigade_4\first_order\zhel\084,20230714,C:\gData\gProjects\brigade_4\first_order\zhel\084\absolute\20230714\raw\084_20230712.fg5
zhet,632.9902748319,632.9912557027,9999999.997567575,0.044,first,zhet,913,C:\gData\gProjects\brigade_4\first_order\zhet\913,20230826,C:\gData\gProjects\brigade_4\first_order\zhet\913\absolute\20230826\raw\913_zhet.fg5
akta,632.9902810201,632.991255064,9999999.997445466,0.006,zero,akta,27,C:\gData\gProjects\brigade_4\zero_order\akta\27,20240408,
kaza,632.9902809383,632.9912550724,9999999.997446612,0.005,zero,kaza,997,C:\gData\gProjects\brigade_4\zero_order\kaza\997,20240405,
koks,632.9902812382,632.9912550415,9999999.997442406,0.004,zero,koks,738,C:\gData\gProjects\brigade_4\zero_order\koks\0738,20240416,
koms,632.9902811564,632.9912550499,9999999.997443551,0.007,zero,koms,1231,C:\gData\gProjects\brigade_4\zero_order\koms\1231,20240414,
krgn,632.9902812927,632.9912550358,9999999.997441642,0.007,zero,krgn,47,C:\gData\gProjects\brigade_4\zero_order\krgn\047,20240418,
satp,632.99028132,632.991255033,9999999.997441258,0.022,zero,satp,992,C:\gData\gProjects\brigade_4\zero_order\satp\992,20240420,
seme,632.9902821651,632.9912549458,9999999.9974294,0.005,zero,seme,851,C:\gData\gProjects\brigade_4\zero_order\seme\851,20240520,
shym,632.9902808838,632.991255078,9999999.99744738,0.011,zero,shym,980,C:\gData\gProjects\brigade_4\zero_order\shym\980,20240403,
talg,632.9902822196,632.9912549402,9999999.997428635,0.003,zero,talg,1089,C:\gData\gProjects\brigade_4\zero_order\talg\1089,20230330,C:\gData\gProjects\brigade_4\zero_order\talg\1089\absolute\20230330\raw\1089_1.fg5
talg,632.9902822196,632.9912549402,9999999.997428635,0.003,zero,talg,1089,C:\gData\gProjects\brigade_4\zero_order\talg\1089,20230705,C:\gData\gProjects\brigade_4\zero_order\talg\1089\absolute\20230705\raw\1089_20230705.fg5
talg,632.9902822196,632.9912549402,9999999.997428635,0.003,zero,talg,1089,C:\gData\gProjects\brigade_4\zero_order\talg\1089,20240327,
talg,632.9902822196,632.9912549402,9999999.997428635,0.003,zero,talg,1089,C:\gData\gProjects\brigade_4\zero_order\talg\1089,20240523,
talg,632.9902822196,632.9912549402,9999999.997428635,0.006,zero,talg,1253,C:\gData\gProjects\brigade_4\zero_order\talg\1253,20230329,C:\gData\gProjects\brigade_4\zero_order\talg\1253\absolute\20230329\raw\20230329_1.fg5
talg,632.9902822196,632.9912549402,9999999.997428635,0.006,zero,talg,1253,C:\gData\gProjects\brigade_4\zero_order\talg\1253,20230704,C:\gData\gProjects\brigade_4\zero_order\talg\1253\absolute\20230704\raw\1253_20230704.fg5
talg,632.9902822196,632.9912549402,9999999.997428635,0.006,zero,talg,1253,C:\gData\gProjects\brigade_4\zero_order\talg\1253,20240330,
talg,632.9902822196,632.9912549402,9999999.997428635,0.006,zero,talg,1253,C:\gData\gProjects\brigade_4\zero_order\talg\1253,20240523,
ural,632.9902811019,632.9912550555,9999999.997444317,0.003,zero,ural,1732,C:\gData\gProjects\brigade_4\zero_order\ural\1732,20240411,
zais,632.9902821924,632.991254943,9999999.99742902,0.004,zero,zais,999,C:\gData\gProjects\brigade_4\zero_order\zais\0999,20240422,
zais,632.9902821924,632.991254943,9999999.99742902,0.004,zero,zais,999,C:\gData\gProjects\brigade_4\zero_order\zais\0999,20240521,
