station;order;point;method;station_name;latitude;longitude;elevation;gravity_eff;ste_eff;h_eff;h_eff_plate;setup_height;tie;ste_tie;a;b;ua;ub;covab;gravity;total_uncert;expanded_uncert
novo;first;8959;relative;Novoishimka_8959;53.05856;66.74058;;;;;;;-1417.91;0.51;;;;;;981298434.28;7.32;14.64
nsul;first;111;relative;Nur-Sultan_111;51.19259;71.64279;;;;;;;-26338.18;0.57;;;;;;981052537.59;7.58;15.15
pavl;first;289;relative;Pavlodar_289;52.19553;77.07112;;;;;;;3503.13;0.56;;;;;;981216400.14;7.34;14.68
petr;first;7272;relative;Petropavlovsk_7272;54.81645;69.19207;;;;;;;-2297.01;0.48;;;;;;981460702.83;7.67;15.35
sagy;first;1222;relative;Sagyz_1222;48.25767;54.85644;;;;;;;10562.04;0.37;;;;;;980857820.55;7.35;14.69
sayk;first;unk2;relative;Sajkyn_unk2;48.78857;46.81332;;;;;;;-9644.55;0.87;;;;;;980932520.96;7.59;15.17
shar;first;95;relative;Sharbakty_95;51.3843;78.32549;;;;;;;-6148.7;0.66;;;;;;981125840.3;7.6;15.2
shas;first;598;relative;Shashubaj_598;46.88645;75.00429;;;;;;;-22469.39;1.56;;;;;;980627367.51;7.58;15.16
shas;first;998;relative;Shashubaj_998;46.88183;75.07995;;;;;;;-10689.99;1.42;;;;;;980639146.04;7.55;15.1
shu;first;130;relative;Shu_130;43.5587;73.7225;;;;;;;-10856.58;0.52;;;;;;980293972.99;7.4;14.8
shu;first;1592;relative;Shu_1592;43.72223;73.76319;;;;;;;7050.78;0.54;;;;;;980311867.82;7.4;14.8
tals;first;5098;relative;Talshik_5098;53.65856;71.78897;;;;;;;4271.48;0.45;;;;;;981349001.78;7.46;14.92
tara;first;144;relative;Taraz_144;42.82025;71.2998;;;;;;;-27209.81;0.66;;;;;;980162002.13;7.32;14.64
tara;first;1013;relative;Taraz_1013;42.90211;71.35592;;;;;;;3598.38;0.66;;;;;;980192811.31;7.32;14.64
torg;first;5220;relative;Torgaj_5220;49.66872;63.46149;;;;;;;-4640.04;0.66;;;;;;980970898.17;7.35;14.7
ukam;first;597;relative;Ust'-Kamenogorsk _597;50.02702;82.50484;;;;;;;13361.36;0.54;;;;;;980943281.35;7.64;15.28
ulan;first;120;relative;Ulanbel'_120;44.81066;71.06827;;;;;;;-679.45;0.53;;;;;;980478162.23;7.31;14.63
ulan;first;unk7;relative;Ulanbel'_unk7;44.73069;71.24481;;;;;;;-13936.93;0.55;;;;;;980464885.83;7.32;14.63
ulan;first;unk8;relative;Ulanbel'_unk8;44.83293;71.01115;;;;;;;1785.59;0.52;;;;;;980480616.23;7.31;14.63
usha;first;1225;relative;Usharal_1225;46.2024;80.88453;;;;;;;6060.05;0.89;;;;;;980525348.38;7.8;15.6
usht;first;1245;relative;Ushtobe_1245;45.21547;77.953;;;;;;;391.5;1.61;;;;;;980426090.01;8.3;16.6
yrgy;first;1273;relative;Yrgyz_1273;48.61771;61.20584;;;;;;;-7288.93;0.61;;;;;;980897886.84;7.27;14.55
zhel;first;52;relative;Zhelezinka_52;53.53241;75.35069;;;;;;;-5668.87;0.78;;;;;;981332135.21;7.58;15.17
zhet;first;8;relative;Zhetysaj_8;41.36165;68.81092;;;;;;;29464.73;0.86;;;;;;980112631.76;7.51;15.02
zhet;first;994;relative;Zhetysaj_994;40.74586;68.31041;;;;;;;-3265.77;1.02;;;;;;980079913.28;7.53;15.06
